id,X,Y,mapX,mapY,dem,prec1,prec10,prec11,prec12,prec2,prec3,prec4,prec5,prec6,prec7,prec8,prec9,tmean1,tmean10,tmean11,tmean12,tmean2,tmean3,tmean4,tmean5,tmean6,tmean7,tmean8,tmean9
45,288,-19,131346.4547,4658397.43676,1232.2089,33,26,37,39.452812,28,29,21,24,23,7,14,13,-14,93,30.252453,-10,16.791088,38,68,111.09438,152.7561,184.79109,178,142.2439
46,273,-60,116346.4547,4617397.43676,2167.9333,82.265167,53.700222,88.835983,91.265167,69.980995,76.410187,48.139153,45.271034,32.85498,13.416054,21.438927,25.845242,-34.709961,56.019001,-2.5552049,-30.68709,-26.564943,-20.835979,6.1640205,48.164021,92.734833,136.16402,133.16402,99.019005
47,291,-106,134346.4547,4571397.43676,1267.5181,77.841377,45.158623,73.158623,78.117126,65,65.882874,40.158623,38.0415,24.158623,6.1586227,14.136542,20.882877,-4.1974597,96.195412,38.643917,-0.19745974,18.624498,38.465878,67.583,111.44379,153.58299,186.87816,180.87816,144.87816
48,275,-154,118346.4547,4523397.43676,1372.9114,140.86987,71.804642,132.92567,136.21167,118.21167,119.92567,67.462837,48.462837,28.372202,7,16.341803,30.121035,-5.3722019,90.944191,32.285995,-2.3722019,12.602392,29.23019,59.199791,101.45096,144.26059,175.57199,169.60239,137.88339
49,270,-204,113346.4547,4473397.43676,1541.902,203.87671,89.780319,181.36642,187.2751,163.8248,168.00351,88.959038,49.953564,29.774843,6.5961242,15.685484,33.596123,-2.2816081,87.854187,29.957077,0.22515635,8.1822338,19.35899,48.811264,90.455788,133.18224,165.95708,162.36095,132.22319
50,290,-282,133346.4547,4395397.43676,521.13611,277.66449,89.289307,207.31195,235.85257,205.33046,194.56787,107.16908,39.785717,14.905957,1.9059577,6,22.717873,56.443928,152.62433,93.650528,58.537971,79.556488,92.914139,122.74457,163.00818,205.74457,236.77844,228.74457,201.58269
51,293,-327,136346.4547,4350397.43676,432.84311,219.46704,65.978134,148.25636,178.49583,156.23947,143.26134,84.261337,29.983114,10,1,4,16,63.709873,161.03377,102.73866,66.726761,84.760529,97.77243,127.73174,167.75554,209.74364,242.76053,236.72676,208.74364
52,284,-368,127346.4547,4309397.43676,48.123192,120.48425,33.219048,86.265198,91.455208,85.2276,75.23616,49,14,6,1,3,8,73.256638,180,121.7724,78,104,119.78951,148.76384,187,225.24808,255.2276,249,225.7724
53,276,-414,119346.4547,4263397.43676,20.960793,98.005417,23,65.216522,71,69,63,36,10,4,1,2,6,73.974976,175.24155,117.99458,76.216522,103,119,148,183,215.02502,240,237,218.76387
54,285,-489,128346.4547,4188397.43676,11.552104,59.686466,16.588228,42,46.686466,47.58823,44.58823,27,7,2,1,2,6,74.686462,177,117.68646,74.686462,104.76143,125,153,188,223,248.14034,242,220.23857
55,276,-530,119346.4547,4147397.43676,514.22839,88.774261,24.870325,68.774261,72.774261,74.774261,70.774261,38.903938,9,3,1,3,9,70.40155,167.60846,107.56483,71.07724,89.564835,101.18211,126.78056,164.58366,205.6609,241.12967,235.56483,208.6945
56,280,-577,123346.4547,4100397.43676,577.24805,86.170975,22.689644,66.69796,71.170975,75.279289,72.201279,37.34898,8.1083174,2.6593373,2,3,10,71.34066,161.59668,106.25602,72.496681,87.410355,97.30204,119.72071,155.59668,195.72903,231.41867,225.83734,201.17801
57,263,-625,106346.4547,4052397.43676,150.55132,65.742073,16,47.742073,57.742073,60.683594,61.683594,27.986631,5,2,1,2,6.7554421,92.24456,162.76881,123.89914,96,107.48911,114.41727,131,151.25793,174.85631,189.67023,190.86967,186.75545
58,333,-42,176346.4547,4635397.43676,1514.6028,46,33,50,52,40,44,32,34,27,9,15,17,-18,84.028366,23.028364,-13,3.0283647,22.028364,52.028366,93.028366,136.02837,174.05673,170.02837,133.00493
59,341,-76,184346.4547,4601397.43676,1370.4453,43.822403,30.053493,48.231091,48,38.231091,41.053493,30.742086,31.973177,22.973177,6.7420869,13.231091,16.822403,-13.79558,91.973328,30.97333,-8.2845831,9.9733305,32.000153,62.688747,105.37734,148.25807,184.60843,179.00015,141.20442
60,353,-130,196346.4547,4547397.43676,1684.983,45.879246,33.005867,49.056,47.885109,40.01173,42.885109,31.050135,37.050137,28.005865,9.0058651,14.005865,20,-27.005865,77.817383,16.982405,-21.005865,-6.0560002,14.932269,44.97654,87.97654,133.888,171.89973,163.944,126.02667
61,333,-173,176346.4547,4504397.43676,1626.6403,78.932739,41.674236,68.67424,73.174294,66.932739,60.84853,33.499943,33.915787,24.915789,8,13,21,-24,80.084213,20.500057,-18,-3.9157884,18.258505,49.084213,92.258507,137.08421,174.00011,166.84267,129.2585
62,327,-203,170346.4547,4474397.43676,1669.4323,117.19587,51.928791,95.928787,104.19587,98.195869,88.928787,43.928791,35,24,8,13,23,-21.732922,80.534157,21.267078,-15.631601,-4.3645239,15.605365,46.635475,90.236969,135.53415,172.16576,165.50404,129.16576
63,342,-253,185346.4547,4424397.43676,1920.7036,153.22083,64.849396,133.69879,137.88264,127.88265,120.8494,59.511223,40.698788,24.816137,9,15.628571,25.849394,-19.989187,76.161415,18.044069,-13.294102,-9.8053246,3.4958866,33.37854,76.345284,122.31203,159.31203,155.82324,122.04407
64,330,-329,173346.4547,4348397.43676,1317.2433,307.69138,100.24558,249.77533,271.03,259.2002,247.95462,127.04767,56.113956,19.245583,6,11,32.622791,45.131626,131.02676,74.850189,48.613697,51.575119,55.01767,81.394875,125.64046,171.57512,211.19791,209.50883,176.19791
65,346,-384,189346.4547,4293397.43676,1182.743,236.85648,82.43399,202.64523,217.42249,204.19974,204.21907,115.77725,41.656738,15,7,9.6567373,28.777252,52.788757,143.58534,84.132019,53.815914,61.705856,66.577515,92.475281,135.9286,182.27969,221.9286,220.04912,187.9286
66,324,-400,167346.4547,4277397.43676,447.52838,181,49.837124,107.97847,149.57872,129.83713,107.70399,66.562637,25.578716,9,2,4,13.258407,65.208694,165.16287,102.84257,65.88839,86.16288,99.58416,127.01608,165.30968,207.62999,241.01608,237.42128,210.74159
67,343,-452,186346.4547,4225397.43676,422.71576,140.61372,42.114574,104.2081,120.4781,114.4781,117.22915,70.114578,20.13563,6.9789457,2,3,13,65.864372,164.86436,102.90648,66.729996,86.042107,100.74979,128.04211,168.90648,210.7498,245.86436,239.88542,211.86436
68,341,-500,184346.4547,4177397.43676,85.984955,74.761734,20,54.719471,62.719471,60.719471,60,44,10,3,1,1,7,72,177,116.23827,73.280525,100.01322,119.28053,149.5188,189.28053,226.56105,259.22504,249.22505,223.23827
69,341,-600,184346.4547,4077397.43676,67.119064,36,10,27,29,35,30,17,5,1,0,1,6,74.007294,179,117,73,104.29751,126,153.01888,193.02617,230,257.97382,251,225
70,354,-628,197346.4547,4049397.43676,89.582825,34,9,24,26,33,28,15,5,2,0,1,6,75,180,117.44329,74.805916,105.91267,126.36263,155.7186,195.55672,233.19408,260.5567,254,226.80592
71,377,-696,220346.4547,3981397.43676,235.62755,44.491814,10,25.491814,29.491814,43.525082,34.491814,19.033268,5,1,1,1,7,76.982002,184.03438,121.47492,76.526192,107.50819,125.04964,153.98199,196.57584,238.03438,271.93347,264.47382,231
72,362,-726,205346.4547,3951397.43676,680.87238,96.90625,20.99987,65.815231,75.815361,92.815231,83.90625,41.907681,8,2,1,2,11.907681,67.092316,155.09361,97.09388,66.092316,83.183472,94.183342,117.00156,155.18347,196.18451,233.00143,227.09361,198.00014
73,386,-751,229346.4547,3926397.43676,807.27722,101.16676,21.555056,71.481209,79.421349,98.166756,93.166756,47.180748,9.6855469,2,1,2,12.685547,64.628906,153.94336,97.314453,65.504799,79.819252,88.388298,111.13371,149.94336,191.20435,228.07385,224.5188,195.07385
74,410,-848,253346.4547,3829397.43676,847.95593,131,16.664806,91.090126,99.258781,137.57468,113.66481,49.42532,8.7126598,1.9521462,0,1.7126602,11.71266,79.197212,155.00926,110.36375,83.197212,87.938431,88.104973,105.70264,133.93843,168.48456,205.14935,205.43459,185.19722
75,378,-45,221346.4547,4632397.43676,1636.0995,52,31.047804,54,54.047802,42.047802,45.894318,35.894318,36.1049,28.1049,10,15,18.057098,-21.894318,83.000778,21.00078,-15.1049,-0.99921906,18.943684,50.895882,93.733101,137.88658,178.95297,173.62743,133.79019
76,365,-68,208346.4547,4609397.43676,1491.5219,44.307476,28,47.307476,45.463444,37,40,32.819427,34,26,8,14,17,-18,87,25,-12,5,27,57.692524,99.361145,144.53656,183.35599,177.04851,138.33655
77,380,-138,223346.4547,4539397.43676,1786.3772,39.949841,28.967937,43.967937,41.967937,34.949841,37.514305,28.967937,36.546368,28.54637,10,14,18.981901,-28.967937,75.050163,14.050161,-22.967937,-8.9498386,11.082224,42.082222,86.082222,131.10033,171.08223,164.10033,125.06826
78,369,-166,212346.4547,4511397.43676,1737.1006,44.113464,28.969725,44.00729,44.105408,38.113464,36.181305,23.105406,31.037565,24.969725,9.9018841,12.067841,17.969725,-31.871609,74.894592,14.06055,-24.969725,-9.0072908,14.022985,45.022984,88.857025,134.09082,173.85703,164.92487,125.25678
79,352,-203,195346.4547,4474397.43676,1285.5464,76.800591,33,51.800591,68.030876,58.800591,43.800591,19.769714,22.769714,17,7,8,15,-8.7290859,97,37.270916,-2.7290859,17.270914,45.240036,76.510948,119.31155,165.96912,202.24004,192.24979,151.47032
80,349,-280,192346.4547,4397397.43676,2181.6416,181.74413,73,159.8708,164.74413,153.84668,146.8708,74.975891,46,27,11,18.002533,29,-24.231762,67.765701,11.765703,-17.231762,-20.231762,-11.358433,17.663145,60.765705,106.88984,148.64157,144.7657,111.74413
81,339,-326,182346.4547,4351397.43676,1556.5369,328.15421,100.18125,246.81061,298.47153,264.59793,249.18846,133.83781,66.196823,23.629356,6.0502572,11.270129,30.320387,27.663824,114.98421,58.405331,34.752922,33.984211,35.844856,63.524471,106.62498,152.31624,192.94559,188.3046,160.67546
82,359,-360,202346.4547,4317397.43676,1467.7781,233.32213,77.068977,186.56273,211.32213,196.01982,185.56273,99.036652,44.388115,18.388117,8,11.388116,28,23.651484,116.65148,58.427715,27.752796,33.907585,43.2957,71.002953,113.39701,158.93991,194.68382,191.90758,162.36469
83,337,-429,180346.4547,4248397.43676,372.39243,154.38902,45.954067,106.66525,131.8954,121.77776,119.52825,70.338997,23.29285,7.4936285,2.2928512,3.4936287,13.088258,67.217339,167.05486,105.83623,68.268379,88.635452,103.67375,130.47298,169.76582,210.54849,244.25182,238.33115,212.6189
84,312,-466,155346.4547,4211397.43676,54.940865,70.673454,19,48.673454,62.416817,53.673454,54.673454,46.416817,10,3,1,2,7,74.381073,177,117,75.45874,103.58318,122,149.58318,187.61893,224,251.7979,244.61893,220.58318
85,323,-543,166346.4547,4134397.43676,30.164692,53.064159,13,38,41,44,38,26,6,1,0,1,6,72.154121,179.93584,118,73,104,126,154,194,230,258,249.05359,225
86,319,-595,162346.4547,4082397.43676,192.27919,37,11,30,30.58766,36.587658,30.821833,16,5,1,1,2,8,73.179695,175.17816,114.99847,73.821831,101,118.59051,145.76582,182.94836,220.17816,251.64214,245,219.12369
87,320,-610,163346.4547,4067397.43676,534.89606,58.695023,15.524541,45.170479,49.412174,56.412174,50.942764,25.276798,7.1414242,2,1,2,11,67.247742,162.6369,102.63691,66.858574,85.964897,98.864624,124.19261,164.34009,206.94487,242.61688,236.71715,206.85858
88,306,-681,149346.4547,3996397.43676,243.5246,51.639538,10.720285,31.750736,41.195137,46.85022,42.85022,19.375368,4.4444008,1,0.44440067,1,6.4444008,82.693665,163.18024,112.31447,81.94268,101.31447,113.62846,133.55943,163.34874,194.79315,216.95784,215.31017,197.62463
89,319,-726,162346.4547,3951397.43676,376.11813,88.491646,16.294367,50.495079,68.142265,81.844467,71.142265,33.245823,5.6471829,1,1,1,7.6471829,80.702202,156.06149,107.05502,79.058449,95.41127,105.77056,124.45295,152.46629,184.10699,210.07179,209.07483,190.05846
90,320,-777,163346.4547,3900397.43676,13.189846,94.961166,20.319946,55.180351,73.500298,86.545387,74.500298,36.090176,7.0450873,1,0,1,8.0450878,114.95491,165.53914,141.63496,118,122.90417,124.81399,133.90982,142.08885,156.69064,166.0381,171.31995,175.4433
91,336,-841,179346.4547,3836397.43676,242.89259,77.097832,14.178632,60.647278,65.069389,85.67572,76.825912,38.411755,5.1501861,1,0,1,7.0284462,110.76447,157.94312,133.6167,111.91467,113.53376,112.73363,122.13769,130.58824,144.88861,158.24588,166,167.94312
92,427,-426,270346.4547,4251397.43676,3036.1763,147.00777,49.506237,127.00873,133.00873,119.75887,116.00873,64.763588,36.252636,24.253603,20.248888,24.249855,30.509985,-47.009697,31.748911,-17.258583,-41.7486,-52.254837,-50.499977,-25.01371,15.98907,64.982544,104.24268,103.23892,70.235176
93,414,-450,257346.4547,4227397.43676,2610.0264,160.55721,49.98875,135.55721,141.56845,134.64748,127.56845,70.778603,34,21,14,18.789852,28.920979,-28.841955,53.447216,2.4472151,-23.841955,-30.552784,-24.541534,0.66861457,41.736385,88.856262,127.38386,124.79974,93.316086
94,432,-544,275346.4547,4133397.43676,1182.1882,170.34627,42.991249,126.17601,141.99126,154.34627,141.24226,81.080757,29.147011,10.910495,3,3.9337451,19.84424,43.757732,137.65373,76.676979,45.757732,56.587471,65.653725,93.417213,134.74323,181.74323,221.24695,218.35095,185.48346
95,449,-551,292346.4547,4126397.43676,1385.1097,161.63728,39.181629,115.77504,128.68321,147.54749,132.45566,74.181633,27.590815,10.590815,3.5908148,4.5908151,20.590815,35.954094,126.09185,68.363281,37.954094,46.360683,56.179054,83.499008,125.3194,171.99742,210.58565,206.40662,173.82098
96,444,-642,287346.4547,4035397.43676,93,54.329872,13,33.862766,41,47,47,28,9,2,0,0,6,73.795212,183.06755,120.65798,73,105,129.93245,159,201,240,267,259,232
97,449,-667,292346.4547,4010397.43676,91.31472,46,11,30,35,42.43824,40,25,8,2,0,0,6,74.15918,183.43823,119.68594,74,106,130,161,202,241.31406,269,260.56177,231
98,474,-732,317346.4547,3945397.43676,315.84863,43.761395,12,31.433582,32.433582,41.864124,45.864124,26,8,2.4335814,0,1,7,82.135872,193,127.03011,82.10273,110.56642,129.66914,161.99696,206.56642,250.43054,284.43054,276.13284,243.56642
99,472,-799,315346.4547,3878397.43676,205.68011,44.091385,9.7331247,27.358259,29.635839,42.932499,43.368965,24.466249,7.7331252,2,0,1,5.7331252,89.533752,193.80063,131.74973,89.533752,115.80063,134.03772,162.49326,201.80063,240.80063,273,266.42575,238.69263
100,485,-818,328346.4547,3859397.43676,1040.4974,60.674603,12.836723,50.155922,47,65.370117,63.524879,31,10,2,1,3.1632769,9,61.214195,159.04356,100.20684,65.533394,76.200638,84.207993,110.88764,149.88763,196.73172,239.05208,233.21535,206.19948
101,462,-880,305346.4547,3797397.43676,51.992493,86.587906,6.3066754,53.306675,52.58791,79.894585,54.894585,30,4,1,0,1,3,121.10542,175.37895,145,123.37895,127.85938,130.72647,145.48044,159,177.82625,196.89459,202,195.31438
102,440,-433,283346.4547,4244397.43676,2446.0903,101.37592,32.365379,84.384102,87.474205,85.829041,76.655716,42.183872,26.818495,19.826674,14.818495,17.818495,23.818495,-33.471844,57.162781,5.0644956,-27.290337,-27.927324,-13.399167,14.699118,56.699116,102.87244,139.61589,135.42751,100.246
103,435,-475,278346.4547,4202397.43676,1993.3951,120.72752,34.977982,96.06311,99.542603,109.59827,96.255386,52.06311,27,16.557257,9.0073662,11.564623,22.922237,-8.0472221,83.00116,30.395521,-3.0398557,1.3587712,15.901295,43.893929,85.251541,130.53632,166.0862,161.78679,127.52166
104,417,-547,260346.4547,4130397.43676,829.87793,151.35045,37.356266,111.15066,133.91232,133.26859,125.94839,77.456161,25.117931,8.018034,2.0180345,3,16.036068,58.58963,154.55356,94.921478,60.58963,73.22364,83.985306,112.38984,154.38983,202.30797,241.16954,237.16954,204.20561
105,410,-598,253346.4547,4079397.43676,107.54647,55.961277,14.961277,35.961277,42.559677,50.62392,50.961277,29,9,3,0,0,6,74,183,119,73,101.03872,125,154.10297,198.89703,236.76561,268.93576,261,232.66264
106,390,-601,233346.4547,4076397.43676,81.744011,45,13,33,36,42,42,24.872356,7,2,0,1,5,72,180.87166,116,72,101,125,155.0007,198.99454,237,266.9993,257,230
107,397,-673,240346.4547,4004397.43676,63.546352,33.447056,8,19,22,33,28,15.077735,5,1,0,1,5,77.456795,187,122.92226,75.456795,109.54321,132,162,205,244.53453,273,265,236
108,394,-736,237346.4547,3941397.43676,242.94713,48.815159,11,29,33.240932,48.815159,40.815159,22.240932,5,1,0.33336562,1,7,74,177.09244,114.85147,73,102.5182,122.18484,149.51814,189,227.75906,258.57422,253,222.57423
109,378,-783,221346.4547,3894397.43676,893.43164,116.30367,22.440559,84.894081,93.308174,114.88085,108.86311,52.44479,9.9954977,2,0.98226112,2,13.013236,69.141121,148.55971,99.000267,71.013504,79.7183,82.722801,101.70956,135.24677,174.07043,209.55971,208.11465,183.09691
110,355,-806,198346.4547,3871397.43676,291.30902,84.134003,17.650091,55.696133,65.696129,87.696129,81.847626,39.348064,6.8250456,1,0,1.5557091,8.7072058,104.65193,165.57137,131.92126,106.35914,113.54052,115.15976,128.06538,146.24773,169.53128,189.05711,192.44429,183.62206
111,516,-497,359346.4547,4180397.43676,2172.1328,43.149174,12.033514,29.149176,34.149174,37.115662,28.859419,18.743757,16,13,13,14.115662,15.743757,-19.718838,76.388229,21.503891,-14.718839,-5.3220153,12.644471,42.785053,85.751541,133.78505,171.19041,161.90071,123.81857
