波长（nm）,R_湿裸土,R_灌木,R_水泥砖,R_枯叶,R_草地,R_水体(90),R_水体(45)
465,0.046344283,0.024370269,0.126913448,0.112851217,0.028327226,0.067396602,0.193795468
466,0.047254849,0.024817307,0.127828295,0.114204927,0.029084349,0.068176761,0.195333935
467,0.046339857,0.024089356,0.127115246,0.114083572,0.02918892,0.067281421,0.193722561
468,0.046125677,0.024422283,0.127201863,0.114404024,0.02907866,0.067436133,0.19326804
469,0.046212923,0.024722604,0.127241891,0.114614265,0.028759595,0.067544968,0.192974631
470,0.046450363,0.024186123,0.126648232,0.114308174,0.028170429,0.066835343,0.192260269
471,0.046741105,0.024233069,0.126388585,0.114386536,0.028191002,0.066923692,0.19160578
472,0.046863427,0.024260875,0.126359623,0.11478148,0.028434399,0.066968747,0.191800428
473,0.046765018,0.024189591,0.126561323,0.115479525,0.028845616,0.066864443,0.192936337
474,0.046504797,0.024603425,0.127213646,0.115949996,0.0292633,0.067510806,0.19330391
475,0.046524983,0.024498574,0.127856971,0.116329188,0.028930127,0.067725076,0.193313633
476,0.046540932,0.024066103,0.127640729,0.115985596,0.028200322,0.06717235,0.192022669
477,0.047257663,0.024582403,0.127735328,0.116410954,0.029010885,0.066638651,0.192285898
478,0.047164079,0.024558748,0.127439722,0.116746875,0.029042047,0.066781528,0.191920596
479,0.046899649,0.024402226,0.127092467,0.116941392,0.02889781,0.066979793,0.191292514
480,0.046981669,0.024426036,0.127218302,0.117179745,0.029036437,0.066936376,0.191109161
481,0.047234943,0.024697766,0.128282061,0.118176413,0.029281661,0.067482621,0.19242696
482,0.047485464,0.024828806,0.12949598,0.119429618,0.029670624,0.068025932,0.194062119
483,0.047997463,0.024912407,0.131547035,0.12161652,0.030395175,0.068878192,0.197063904
484,0.048845142,0.025715875,0.132984024,0.123242963,0.030542122,0.069135474,0.199181135
485,0.0495079,0.025911897,0.133357264,0.124235647,0.030711716,0.069494753,0.199538547
486,0.04964338,0.025613477,0.132545643,0.124282931,0.030680408,0.069498656,0.198109344
487,0.047561864,0.024931163,0.129055112,0.12140897,0.029415042,0.066954512,0.193120393
488,0.04624061,0.024355513,0.127047531,0.119803894,0.028886515,0.065524137,0.189220839
489,0.04570184,0.024138772,0.126402191,0.119485391,0.028861211,0.065036232,0.187290876
490,0.046363156,0.024684022,0.127798277,0.121173461,0.029392939,0.065840819,0.189221256
491,0.047324716,0.02526478,0.128981786,0.123270035,0.029659646,0.066510487,0.191199309
492,0.048065825,0.025738708,0.129456318,0.124634289,0.029761399,0.066887915,0.191937805
493,0.048807508,0.026246381,0.129980626,0.125864412,0.029908415,0.067365162,0.192445335
494,0.047845009,0.025723779,0.129420779,0.126324427,0.029736109,0.066338336,0.191252736
495,0.047590842,0.02599653,0.129805254,0.127631348,0.030278272,0.066547682,0.191594859
496,0.047830858,0.026739474,0.130735148,0.129421462,0.031187031,0.067552107,0.192774231
497,0.048217173,0.027062628,0.131546649,0.131093847,0.031479669,0.06833153,0.193449857
498,0.048670331,0.027887436,0.132575081,0.13268947,0.031662827,0.068317493,0.19445247
499,0.0491439,0.028896734,0.133487242,0.134354842,0.031892994,0.068317136,0.195590496
500,0.049562447,0.029846378,0.133701959,0.136162724,0.032314797,0.069057624,0.196562798
501,0.049063986,0.029905044,0.133155891,0.136839075,0.032636707,0.06850075,0.196092583
502,0.048785377,0.029875834,0.132443321,0.137478982,0.033011627,0.067934726,0.19518084
503,0.049183035,0.030032052,0.132066774,0.138766299,0.033575131,0.067860063,0.194564145
504,0.048694476,0.030915762,0.131079278,0.138428253,0.033697441,0.067531612,0.192946701
505,0.048287011,0.031992383,0.130915142,0.139029001,0.034188442,0.067598891,0.19252683
506,0.048127055,0.033221396,0.131510872,0.140582511,0.03497727,0.068044548,0.19318611
507,0.048869441,0.034326192,0.132092835,0.142825694,0.035638167,0.068590577,0.193839091
508,0.048874655,0.035413382,0.132471201,0.143970254,0.035999366,0.068795292,0.194195768
509,0.048900025,0.036739352,0.132737814,0.144979535,0.036597727,0.068978619,0.194682789
510,0.049811323,0.038749426,0.132927574,0.146899056,0.038166814,0.069523663,0.195928902
511,0.049645872,0.040813585,0.133217494,0.148366141,0.039434865,0.070452183,0.196625177
512,0.049660534,0.042935802,0.133691273,0.150190632,0.040654115,0.071281893,0.197498749
513,0.050336085,0.045250995,0.134712716,0.152989387,0.041992234,0.072052755,0.199286714
514,0.050655431,0.047908892,0.135286627,0.154619021,0.043538605,0.072471362,0.200266766
515,0.05065017,0.050422493,0.135789718,0.156221718,0.045123127,0.072862754,0.20128888
516,0.050379744,0.052781552,0.135931236,0.157512592,0.046666661,0.073084866,0.201981836
517,0.05030481,0.05504624,0.134480337,0.157193357,0.047889473,0.072502327,0.200721745
518,0.049636932,0.057071943,0.132493308,0.156091489,0.048565465,0.071767891,0.198281737
