FID,X,Y,Join_Count
195,113.2686913,22.9822416,4
196,113.2687791,22.9821349,4
197,113.2688584,22.9916693,2
198,113.2690755,22.9884075,3
199,113.2691903,22.9888388,3
200,113.2692275,22.9918489,3
201,113.2694647,22.95773371,1
202,113.2698082,22.9924658,4
203,113.2698451,22.95760835,1
204,113.2698552,22.9928155,3
205,113.2698811,22.9863461,4
206,113.2699531,22.9577661,3
207,113.2699641,22.9862425,4
208,113.2699893,22.9864176,4
209,113.270019,22.9925868,3
210,113.2700235,22.95735909,1
211,113.270041,22.9576246,4
212,113.2700709,22.9863123,4
213,113.2700874,22.980267,1
214,113.2700991,22.9577809,3
215,113.2701179,22.9920468,3
216,113.2701898,22.9576393,4
217,113.2702057,22.991942,3
218,113.2702515,22.9573864,3
219,113.2703857,22.9801209,1
220,113.2704302,22.9920129,3
221,113.2705341,22.95705013,1
222,113.270764,22.95695151,1
223,113.2711142,22.9900563,3
224,113.2711278,22.9906204,3
225,113.2712283,22.9904828,2
226,113.2712856,22.9905075,2
227,113.2714019,22.99022915,4
228,113.2714852,22.9906996,2
229,113.2715736,22.98997814,4
230,113.271612,22.98401161,4
231,113.2716486,22.99037741,4
232,113.2716753,22.98392585,4
233,113.2717242,22.9840796,4
234,113.2717503,22.98972,2
235,113.2717868,22.9839948,4
236,113.2719706,22.9903891,2
237,113.2719727,22.9936401,4
238,113.2720385,23.0141063,1
239,113.2720433,22.9935445,4
240,113.2720884,23.0227493,2
241,113.2721143,22.9937238,4
242,113.2721825,23.022862,2
243,113.2721837,22.9936312,4
244,113.2722395,22.9903625,3
245,113.2723867,22.9908209,3
246,113.2725712,22.9817842,1
247,113.2727602,22.9819293,3
248,113.2728496,22.9882366,4
249,113.2729427,22.9881222,4
250,113.2730459,22.9883802,4
251,113.2731322,22.9882528,4
252,113.2731421,22.9909288,3
253,113.2732703,22.9918672,2
254,113.2732991,22.9914881,1
255,113.2733713,22.9919379,2
256,113.2734421,22.9824274,3
257,113.2734694,22.99159201,4
258,113.2735289,22.99150975,4
259,113.273577,22.99165766,4
260,113.2736264,22.99137502,4
261,113.2736314,23.0210673,2
262,113.273638,22.99157462,4
263,113.2736419,22.99135367,4
264,113.2736877,22.99129033,4
265,113.2737357,22.99144153,4
266,113.2737393,22.99143654,4
267,113.2737524,23.0209146,2
268,113.2737693,22.991462,3
269,113.2737946,22.99136121,4
270,113.2738283,23.0210636,2
271,113.2738932,22.9910063,2
272,113.2739511,23.0209162,2
273,113.2739629,22.99489636,4
274,113.2739988,22.9910831,2
275,113.2740428,22.99479085,4
276,113.2741074,22.9949872,3
