FID,oneway,length(m),beginX,beginY,endX,endY
57,1,3699.352523,113.5684884,22.67452851,113.5933606,22.6504026
58,0,15.44914586,113.5685939,22.67462785,113.5684884,22.67452851
59,1,3700.561757,113.5934936,22.6505114,113.5685939,22.67462785
60,0,66.67364409,113.5679341,22.6748634,113.5684063,22.67445114
61,0,119.8400565,113.5694119,22.6753984,113.5685939,22.67462785
62,0,268.5906425,113.5702813,22.6762679,113.5681507,22.675494
63,0,131.414347,113.5702813,22.6762679,113.5694119,22.6753984
64,1,238.4491288,113.5664374,22.6765075,113.5679341,22.6748634
65,1,304.2010426,113.5664374,22.6765075,113.5684884,22.67452851
66,0,63.07170439,113.5707185,22.6766671,113.5702813,22.6762679
67,0,234.3519834,113.5723482,22.6751882,113.5707185,22.6766671
68,1,437.038472,113.5685939,22.67462785,113.5656415,22.6774659
69,1,338.5109664,113.5681507,22.675494,113.5656415,22.6774659
70,0,434.8222816,113.5737572,22.6793969,113.5707185,22.6766671
71,1,3539.237595,113.532291,22.6828956,113.5576231,22.6612723
72,0,18.15735791,113.532291,22.6828956,113.5324149,22.6830124
73,1,3535.564843,113.5577191,22.6614112,113.5324149,22.6830124
74,0,1586.064235,113.5324149,22.6830124,113.5418027,22.6943716
75,0,114.8622119,113.5418027,22.6943716,113.5426781,22.6950055
76,0,66.27157903,113.5426236,22.6944334,113.5426781,22.6950055
77,0,37.81000969,113.5426781,22.6950055,113.5429261,22.69525753
78,0,221.1269027,113.5429261,22.69525753,113.5426236,22.6944334
79,0,11.71982025,113.5429261,22.69525753,113.543003,22.69533565
80,1,3209.406533,113.543003,22.69533565,113.5664374,22.6765075
81,0,14.40501612,113.543003,22.69533565,113.5430975,22.69543167
82,1,3077.555019,113.5656415,22.6774659,113.5430975,22.69543167
83,0,56.69343592,113.5424338,22.6954882,113.5429261,22.69525753
84,1,186.8951917,113.5409009,22.6963953,113.5424338,22.6954882
85,1,245.9164665,113.5409009,22.6963953,113.543003,22.69533565
86,0,212.9406186,113.5430975,22.69543167,113.5444772,22.6968652
87,1,349.2823657,113.5430975,22.69543167,113.5401178,22.6969469
88,1,248.3826675,113.5423455,22.6960884,113.5401178,22.6969469
89,0,315.7931946,113.5423455,22.6960884,113.5447866,22.697178
90,0,47.03738663,113.5444772,22.6968652,113.5447866,22.697178
91,0,274.9172741,113.5447866,22.697178,113.5465794,22.6990191
92,0,3507.794296,113.5707185,22.6766671,113.5465794,22.6990191
93,1,878.7475419,113.5336333,22.7005464,113.5409009,22.6963953
94,1,776.7418449,113.5401178,22.6969469,113.5337083,22.7006419
95,0,738.6556721,113.501147,22.7006474,113.4964459,22.69560524
96,1,58.74663288,113.5327762,22.7029109,113.5332297,22.7025882
97,1,17.01794801,113.5326461,22.7030059,113.5327762,22.7029109
98,1,16.00946829,113.5327762,22.7029109,113.5328798,22.7030188
99,1,59.31142479,113.533337,22.7026922,113.5328798,22.7030188
100,1,15.31838298,113.5327423,22.7031115,113.5326461,22.7030059
101,1,17.47095112,113.5328798,22.7030188,113.5327423,22.7031115
102,0,591.8799904,113.5049194,22.7046835,113.501147,22.7006474
103,1,3712.284663,113.5049194,22.7046835,113.532291,22.6828956
104,0,20.55565971,113.5050534,22.7048212,113.5049194,22.7046835
105,1,3713.082668,113.5324149,22.6830124,113.5050534,22.7048212
106,1,381.4437096,113.5296889,22.7050859,113.5326461,22.7030059
107,0,16.13301653,113.5296889,22.7050859,113.5297803,22.70520427
108,1,382.6905411,113.5327423,22.7031115,113.5297803,22.70520427
109,1,60.16303408,113.5292225,22.705414,113.5296889,22.7050859
110,1,60.972175,113.5297803,22.70520427,113.5293084,22.7055377
111,1,531.8784916,113.5328798,22.7030188,113.5363792,22.7065551
112,1,532.5849606,113.536225,22.7066707,113.5327423,22.7031115
113,1,773.6567593,113.4992208,22.7092255,113.5049194,22.7046835
114,1,773.9423319,113.5050534,22.7048212,113.4992208,22.7092255
115,0,675.6616495,113.5297803,22.70520427,113.5339288,22.7099347
