Plot_ID,Mean_DBH,Min_DBH,Max_DBH,Mean_H,Min_H,Max_H
29,41.5250000954,20.3999996185,121.400001526,18.7124998569,8.5,52.7000007629
30,41.3125001192,22.8999996185,77.8000030518,17.2437502444,7.40000009537,33.2999992371
31,26.6705879885,19.6000003815,43.0999984741,15.0705881119,8.30000019073,28.7000007629
32,54.6823535246,27.2999992371,110.800003052,21.2058822407,9.69999980927,30.8999996185
35,36.2526315388,21.2000007629,71.3000030518,18.7263158497,6.0,28.2000007629
36,34.9875000318,21.0,61.5,15.5624998013,7.69999980927,24.7999992371
37,39.4400000763,24.0,71.5999984741,17.443999939,9.69999980927,27.7000007629
38,40.0249998093,22.0,95.1999969482,24.9049996614,5.40000009537,48.2999992371
39,40.2588232826,22.2000007629,104.099998474,22.3647059132,2.79999995232,52.0999984741
40,32.1473684813,20.2000007629,58.5,15.8184209874,6.0,26.2999992371
41,45.0651165275,21.0,87.3000030518,17.8488371206,4.0,32.9000015259
42,53.6499996185,22.6000003815,96.0999984741,25.1299998283,7.40000009537,52.7000007629
43,74.2999992371,52.5999984741,104.5,42.0333334605,32.7000007629,49.0
44,45.4440000153,19.5,91.0,22.6959999084,8.60000038147,44.0
45,40.3272731087,20.1000003815,103.0,16.1000002081,9.30000019073,33.2000007629
46,42.5639997864,20.7000007629,97.8000030518,18.1720000076,7.30000019073,55.5
47,59.2666662852,20.0,100.199996948,31.5799998601,5.0,50.7999992371
48,34.1142861503,21.0,64.3000030518,13.9142855236,6.0,25.2999992371
49,36.9833335876,28.0,46.7999992371,15.5166667302,9.30000019073,21.2999992371
50,47.6461538168,19.8999996185,83.0999984741,21.6461536701,9.89999961853,37.0999984741
51,47.8249999682,21.6000003815,99.0,19.4583332539,10.0,36.7999992371
52,40.7687501907,20.2000007629,86.8000030518,20.6687502861,10.8000001907,38.7000007629
53,34.5750001761,22.2999992371,97.4000015259,19.5749999927,12.5,43.7999992371
54,37.5200000763,20.5,82.5,20.591428457,12.1000003815,45.2000007629
55,47.4193548387,20.3999996185,106.5,21.4161289277,2.5,38.5999984741
56,43.5756760159,19.7999992371,98.3000030518,25.6810813208,4.40000009537,47.9000015259
57,32.4166660309,20.2999992371,51.0,14.3833333651,9.80000019073,31.1000003815
59,36.0133332253,19.7999992371,70.0,19.0300000509,10.6999998093,29.7999992371
60,41.8888888889,19.6000003815,91.0,18.4222221904,10.1000003815,28.5
61,40.544444614,21.7000007629,82.0999984741,16.5444443491,7.09999990463,29.8999996185
62,75.2999992371,43.2999992371,98.9000015259,24.0,15.5,35.5
63,36.4415385026,20.7000007629,58.4000015259,20.8261540046,2.5,33.4000015259
64,48.8611107932,20.5,104.199996948,22.6444445981,5.5,51.9000015259
65,33.6263156188,21.0,69.5,19.4710527721,11.8000001907,29.2000007629
66,37.2142858233,22.2000007629,70.5,22.2257143293,14.3000001907,39.5
67,31.023999939,19.7000007629,53.5999984741,15.4999998093,5.0,32.0999984741
68,45.5533331553,25.2999992371,64.4000015259,21.6,15.0,35.2000007629
69,32.9314286913,19.6000003815,58.4000015259,19.1600002289,8.30000019073,36.2000007629
70,30.9250006676,20.8999996185,36.9000015259,15.4000000954,12.3000001907,17.2999992371
