x,y,z,type
0.685330,0.913340,2.151470,2
-0.164670,0.863340,1.153629,2
-0.164670,0.863340,1.222110,2
-0.064670,0.863340,1.246672,2
-0.014670,0.863340,1.307254,2
-0.864670,0.863340,2.034690,2
-0.114670,0.863340,1.324332,2
-0.764670,0.863340,1.967704,2
-0.764670,0.863340,2.044709,2
-0.814670,0.863340,2.026462,2
-0.764670,0.863340,1.978570,2
-0.714670,0.863340,1.837299,2
-0.714670,0.863340,1.974297,2
-0.464670,0.863340,1.898274,2
-0.414670,0.863340,2.009530,2
-0.264670,0.863340,2.046687,2
-0.464670,0.863340,2.180726,2
-0.414670,0.863340,2.288458,2
-0.114670,0.863340,2.038795,2
-0.314670,0.863340,2.059125,2
-0.014670,0.863340,2.038034,2
-0.014670,0.863340,1.985849,2
0.235330,0.863340,2.007219,2
0.335330,0.863340,2.052681,2
0.385330,0.863340,2.068723,2
0.335330,0.863340,2.083001,2
0.285330,0.863340,2.108317,2
0.535330,0.863340,1.976920,2
0.535330,0.863340,2.042936,2
0.585330,0.863340,2.074444,2
0.535330,0.863340,2.124246,2
0.485330,0.863340,2.100678,2
0.635330,0.863340,2.099419,2
-0.064670,0.813340,1.308473,2
-0.164670,0.813340,1.234192,2
-0.064670,0.813340,1.221679,2
-0.814670,0.813340,1.990758,2
-0.814670,0.813340,1.966819,2
-0.114670,0.813340,1.162193,2
-0.714670,0.813340,1.903058,2
-0.714670,0.813340,1.952888,2
-0.714670,0.813340,2.024962,2
-0.164670,0.813340,2.046435,2
-0.364670,0.813340,2.010946,2
-0.014670,0.813340,2.132546,2
-0.014670,0.813340,2.244399,2
-0.264670,0.813340,2.013907,2
-0.264670,0.813340,2.034412,2
-0.164670,0.813340,2.097385,2
-0.564670,0.813340,2.309642,2
-0.514670,0.813340,2.289128,2
-0.464670,0.813340,1.907261,2
-0.314670,0.813340,1.890296,2
-0.314670,0.813340,2.029287,2
-0.764670,0.813340,1.214701,2
-0.614670,0.813340,1.362199,2
-0.664670,0.813340,1.345905,2
-0.664670,0.813340,1.277551,2
-0.664670,0.813340,1.355628,2
-0.614670,0.813340,1.453568,2
0.835330,0.813340,1.374277,2
0.135330,0.813340,1.319663,2
0.935330,0.813340,1.378025,2
0.135330,0.813340,2.056558,2
0.185330,0.813340,1.974164,2
0.185330,0.813340,2.028339,2
0.085330,0.813340,2.028874,2
0.335330,0.813340,2.038491,2
0.435330,0.813340,1.880375,2
0.535330,0.813340,1.881400,2
0.535330,0.813340,1.951997,2
0.585330,0.813340,2.158270,2
0.685330,0.813340,2.147483,2
0.485330,0.813340,2.057521,2
0.335330,0.813340,2.082198,2
0.835330,0.813340,1.885816,2
-0.764670,0.763340,1.921806,2
-0.464670,0.763340,1.874051,2
-0.664670,0.763340,1.956712,2
-0.514670,0.763340,1.968826,2
-0.014670,0.763340,2.120758,2
-0.014670,0.763340,2.226983,2
-0.614670,0.763340,2.267650,2
-0.564670,0.763340,2.157598,2
-0.514670,0.763340,2.268658,2
-0.864670,0.763340,1.269311,2
-0.964670,0.763340,1.307913,2
-0.614670,0.763340,1.252939,2
-0.914670,0.763340,1.325776,2
-0.714670,0.763340,1.240395,2
-0.664670,0.763340,1.298496,2
0.085330,0.763340,2.001300,2
0.035330,0.763340,2.037815,2
0.085330,0.763340,2.036358,2
0.035330,0.763340,2.081418,2
0.135330,0.763340,2.023285,2
0.435330,0.763340,1.836788,2
0.235330,0.763340,2.008099,2
0.235330,0.763340,2.117299,2
0.385330,0.763340,1.930588,2
0.485330,0.763340,1.969977,2
0.735330,0.763340,2.255075,2
0.635330,0.763340,2.139104,2
0.685330,0.763340,2.080915,2
0.685330,0.763340,2.230174,2
0.585330,0.763340,1.990022,2
0.785330,0.763340,2.175020,2
0.835330,0.763340,1.357363,2
0.835330,0.763340,2.161769,2
0.735330,0.763340,1.922683,2
-0.764670,0.713340,1.904579,2
-0.664670,0.713340,1.896620,2
-0.014670,0.713340,0.990700,2
-0.064670,0.713340,1.141469,2
-0.014670,0.713340,1.453507,2
-0.064670,0.713340,1.209517,2
-0.314670,0.713340,1.449479,2
-0.664670,0.713340,2.278926,2
-0.564670,0.713340,2.206144,2
-0.464670,0.713340,2.334851,2
-0.464670,0.713340,2.140845,2
-0.514670,0.713340,2.121085,2
-0.414670,0.713340,2.108722,2
-0.364670,0.713340,1.857774,2
-0.664670,0.713340,1.298948,2
-0.614670,0.713340,2.341968,2
-0.314670,0.713340,2.012416,2
-0.214670,0.713340,1.889404,2
-0.064670,0.713340,1.943951,2
-0.064670,0.713340,2.025086,2
-0.014670,0.713340,2.053604,2
-0.064670,0.713340,2.139745,2
-0.414670,0.713340,2.079940,2
-0.214670,0.713340,1.994286,2
-0.714670,0.713340,1.263343,2
-0.714670,0.713340,1.318809,2
-0.814670,0.713340,1.303120,2
0.035330,0.713340,1.339718,2
0.135330,0.713340,1.894119,2
0.335330,0.713340,1.588349,2
0.185330,0.713340,1.933039,2
0.285330,0.713340,1.892780,2
0.085330,0.713340,1.850502,2
0.485330,0.713340,1.798302,2
0.535330,0.713340,1.962358,2
0.735330,0.713340,1.326637,2
0.735330,0.713340,1.317386,2
0.835330,0.713340,1.411183,2
0.885330,0.713340,1.355520,2
0.835330,0.713340,1.398837,2
0.885330,0.713340,1.337549,2
0.785330,0.713340,2.130530,2
0.685330,0.713340,2.085034,2
0.735330,0.713340,2.262226,2
0.735330,0.713340,1.877858,2
0.785330,0.713340,1.929189,2
0.785330,0.713340,1.943364,2
0.835330,0.713340,1.918385,2
-0.064670,0.663340,1.323526,2
-0.014670,0.663340,1.286540,2
-0.264670,0.663340,1.421511,2
-0.664670,0.663340,1.808387,2
-0.664670,0.663340,1.931580,2
-0.664670,0.663340,1.848098,2
-0.414670,0.663340,1.842544,2
-0.564670,0.663340,2.258837,2
-0.364670,0.663340,2.065746,2
-0.364670,0.663340,2.073377,2
-0.664670,0.663340,2.284335,2
-0.364670,0.663340,1.891270,2
-0.414670,0.663340,2.059603,2
-0.614670,0.663340,2.268070,2
-0.264670,0.663340,2.053062,2
-0.064670,0.663340,2.106254,2
-0.064670,0.663340,2.216329,2
-0.014670,0.663340,1.988812,2
-0.764670,0.663340,1.222329,2
-0.714670,0.663340,1.321200,2
-0.714670,0.663340,1.326792,2
-0.964670,0.663340,1.369984,2
-1.014670,0.663340,1.263078,2
0.035330,0.663340,1.320826,2
0.035330,0.663340,1.397981,2
0.885330,0.663340,1.309472,2
0.935330,0.663340,1.380729,2
0.935330,0.663340,1.421535,2
0.985330,0.663340,1.375201,2
0.085330,0.663340,2.012577,2
0.035330,0.663340,1.999968,2
0.185330,0.663340,1.964436,2
0.385330,0.663340,1.738431,2
0.635330,0.663340,2.060661,2
0.685330,0.663340,2.068746,2
0.635330,0.663340,2.128855,2
0.285330,0.663340,1.969107,2
0.335330,0.663340,1.957663,2
0.035330,0.663340,1.850777,2
0.885330,0.663340,2.234181,2
0.035330,0.663340,2.003109,2
0.735330,0.663340,1.869542,2
0.635330,0.663340,1.597121,2
0.835330,0.663340,1.880615,2
-0.364670,0.613340,1.831150,2
-0.864670,0.613340,1.842592,2
-0.764670,0.613340,1.827348,2
-0.814670,0.613340,1.855024,2
-0.564670,0.613340,2.284261,2
-0.464670,0.613340,2.354197,2
-0.614670,0.613340,2.319695,2
-0.214670,0.613340,1.850509,2
-0.064670,0.613340,1.727958,2
-0.364670,0.613340,2.020461,2
-0.514670,0.613340,2.188367,2
-0.114670,0.613340,1.860737,2
-0.314670,0.613340,1.938702,2
-0.764670,0.613340,1.276488,2
-0.664670,0.613340,1.241786,2
-0.614670,0.613340,1.150698,2
-0.064670,0.613340,2.520855,2
-0.964670,0.613340,1.349024,2
-1.014670,0.613340,1.246358,2
0.735330,0.613340,1.264780,2
0.785330,0.613340,1.243015,2
0.785330,0.613340,1.293023,2
0.385330,0.613340,1.196379,2
0.935330,0.613340,1.340462,2
0.985330,0.613340,1.321365,2
0.285330,0.613340,1.527811,2
0.535330,0.613340,1.969053,2
0.435330,0.613340,1.786492,2
0.435330,0.613340,1.828917,2
0.685330,0.613340,2.156633,2
0.685330,0.613340,2.164330,2
0.685330,0.613340,2.038302,2
0.035330,0.613340,1.777731,2
0.085330,0.613340,1.817713,2
0.785330,0.613340,2.206073,2
0.835330,0.613340,2.242940,2
0.185330,0.613340,1.990883,2
0.085330,0.613340,2.488265,2
0.085330,0.613340,2.570176,2
0.135330,0.613340,2.599083,2
0.735330,0.613340,1.892180,2
0.785330,0.613340,1.823619,2
0.785330,0.613340,1.871046,2
